"Date","Price","Open","High","Low","Vol.","Change %"
"07/28/2023","2.638","2.602","2.685","2.564","136.51K","5.86%"
"07/27/2023","2.492","2.627","2.650","2.463","2.42K","-6.49%"
"07/26/2023","2.665","2.720","2.739","2.625","37.31K","-2.38%"
"07/25/2023","2.730","2.703","2.754","2.656","35.55K","1.68%"
"07/24/2023","2.685","2.721","2.767","2.664","54.17K","-1.43%"
"07/22/2023","2.724","2.724","2.724","2.724","","0.41%"
"07/21/2023","2.713","2.744","2.786","2.687","94.15K","-1.60%"
"07/20/2023","2.757","2.629","2.789","2.617","165.85K","5.92%"
"07/19/2023","2.603","2.620","2.657","2.584","102.07K","-0.99%"
"07/18/2023","2.629","2.537","2.647","2.529","134.87K","4.66%"
"07/17/2023","2.512","2.548","2.580","2.484","110.91K","-1.06%"
"07/14/2023","2.539","2.558","2.606","2.492","134.59K","-0.24%"
"07/13/2023","2.545","2.659","2.666","2.539","148.02K","-3.31%"
"07/12/2023","2.632","2.739","2.750","2.618","149.63K","-3.63%"
"07/11/2023","2.731","2.667","2.748","2.630","130.58K","2.32%"
"07/10/2023","2.669","2.570","2.692","2.570","124.50K","3.37%"
"07/07/2023","2.582","2.635","2.675","2.536","103.59K","-1.03%"
"07/06/2023","2.609","2.652","2.687","2.586","109.30K","-1.81%"
"07/05/2023","2.657","2.699","2.793","2.648","124.91K","-3.42%"
"07/04/2023","2.751","2.690","2.759","2.662","15.95K","1.55%"
"07/03/2023","2.709","2.729","2.746","2.670","79.62K","-3.18%"
"06/30/2023","2.798","2.677","2.828","2.634","147.27K","3.59%"
"06/29/2023","2.701","2.662","2.746","2.616","118.61K","3.76%"
"06/28/2023","2.603","2.788","2.839","2.593","1.32K","-5.79%"
"06/27/2023","2.763","2.777","2.809","2.724","71.15K","-1.00%"
"06/26/2023","2.791","2.758","2.816","2.720","31.60K","2.27%"
"06/23/2023","2.729","2.612","2.740","2.520","84.43K","4.64%"
"06/22/2023","2.608","2.590","2.632","2.529","109.16K","0.42%"
